"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"R7F9NPAF","journalArticle","1996","Ware, J.; Kosinski, M.; Keller, S. D.","A 12-Item Short-Form Health Survey: construction of scales and preliminary tests of reliability and validity","Med Care","","0025-7079 (Print)0025-7079","","","Regression methods were used to select and score 12 items from the Medical Outcomes Study 36-Item Short-Form Health Survey (SF-36) to reproduce the Physical Component Summary and Mental Component Summary scales in the general US population (n=2,333). The resulting 12-item short-form (SF-12) achieved multiple R squares of 0.911 and 0.918 in predictions of the SF-36 Physical Component Summary and SF-36 Mental Component Summary scores, respectively. Scoring algorithms from the general population used to score 12-item versions of the two components (Physical Components Summary and Mental Component Summary) achieved R squares of 0.905 with the SF-36 Physical Component Summary and 0.938 with SF-36 Mental Component Summary when cross-validated in the Medical Outcomes Study. Test-retest (2-week)correlations of 0.89 and 0.76 were observed for the 12-item Physical Component Summary and the 12-item Mental Component Summary, respectively, in the general US population (n=232). Twenty cross-sectional and longitudinal tests of empirical validity previously published for the 36-item short-form scales and summary measures were replicated for the 12-item Physical Component Summary and the 12-item Mental Component Summary, including comparisons between patient groups known to differ or to change in terms of the presence and seriousness of physical and mental conditions, acute symptoms, age and aging, self-reported 1-year changes in health, and recovery for depression. In 14 validity tests involving physical criteria, relative validity estimates for the 12-item Physical Component Summary ranged from 0.43 to 0.93 (median=0.67) in comparison with the best 36-item short-form scale. Relative validity estimates for the 12-item Mental Component Summary in 6 tests involving mental criteria ranged from 0.60 to 107 (median=0.97) in relation to the best 36-item short-form scale. Average scores for the 2 summary measures, and those for most scales in the 8-scale profile based on the 12-item short-form, closely mirrored those for the 36-item short-form, although standard errors were nearly always larger for the 12-item short-form.","1996-03","2020-06-04 02:43:18","2020-06-04 02:43:18","","220-33","","3","34","","","","","","","","","","eng","","","","","","","","","","http://dx.doi.org/","*Health Status; *Health Surveys; *Mental Health; Cross-Sectional Studies; Humans; Longitudinal Studies; Outcome Assessment (Health Care); Regression Analysis; Reproducibility of Results; United States/epidemiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HHAMTPU2","journalArticle","1997","Parrish, R. K.; Gedde, S. J.; Scott, I. U.; Feuer, W. J.; Schiffman, J. C.; Mangione, C. M.; Montenegro-Piniella, A.","Visual function and quality of life among patients with glaucoma","Arch Ophthalmol","","0003-9950 (Print)0003-9950","","","This study determines the relation between visual field impairment, visual functioning, and global quality of life in patients with glaucoma. Binocular visual field impairment was calculated from simultaneous Esterman visual field testing using the Humphrey automated perimeter. Visual acuity impairment, defined with the American Medical Association's Guides to the Evaluation of Permanent Impairment; visual functioning, measured with the VF-14 and the field test version of the National Eye Institute-Visual Functioning Questionnaire; and global quality of life, assessed with the Medical Outcomes Study 36-Item Short Form Health Survey, were determined in 147 consecutive patients with glaucoma. None of the Medical Outcomes Study 36-Item Short Form Health Survey domains demonstrated more than a weak correlation with visual field impairment. The VF-14 scores were moderately correlated (r = -0.58). Of the National Eye Institute-Visual Functioning Questionnaire scales, peripheral vision (r = -0.60), distance activities (r = -0.56), and vision-specific dependency (r = -0.56) were moderately correlated with visual field impairment; vision-specific social functioning, near activities, vision-specific role difficulties, general vision, vision-specific mental health, color vision, and driving were modestly correlated with visual field impairment (r value between -0.32 and -0.55); visual pain was weakly correlated with visual field impairment; and general health and vision-specific expectations were not notably correlated with visual field impairment. Statistically adjusting for visual acuity weakened the correlations. The Medical Outcomes Study 36-Item Short Form Health Survey indicated that our patients with glaucoma were comparable with previously studied patients without severe systemic medical problems. However, the Medical Outcomes Study 36-Item Short Form Health Survey scores did not correlate with visual field impairment in our study. Based on the moderate correlation between binocular visual field impairment with the VF-14 and the National Eye Institute-Visual Functioning Questionnaire, these questionnaires may be useful among patients with glaucoma.","1997-11","2020-06-04 02:43:17","2020-06-04 02:43:17","","1447-55","","11","115","","","","","","","","","","eng","","","","","","","","","; ","https://escholarship.org/content/qt1wr1z4f4/qt1wr1z4f4.pdf; http://dx.doi.org/","Adult; Humans; Middle Aged; Aged; Aged, 80 and over; Female; Male; Visual Acuity/*physiology; Visual Field Tests; *Quality of Life; Adolescent; Health Surveys; Surveys and Questionnaires; Visual Fields/*physiology; Glaucoma/*physiopathology/psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3L285WCF","journalArticle","1998","Ivers, R. Q.; Cumming, R. G.; Mitchell, P.; Attebo, K.","Visual impairment and falls in older adults: the Blue Mountains Eye Study","J Am Geriatr Soc","","0002-8614 (Print)0002-8614","10.1111/j.1532-5415.1998.tb01014.x","","OBJECTIVES: To examine the association between visual impairment and falls in older people. DESIGN: Cross-sectional survey of eye disease with retrospective collection of falls data. SETTING: Two postcode areas in the Blue Mountains west of Sydney, Australia. PARTICIPANTS: All people 49 years of age and older were invited to participate, 3654 (82.4%) of 4433 eligible residents took part, and 3299 answered questions about falls. MEASUREMENTS: Subjects had a detailed eye examination and answered questions about health and vision status, use of medication, and number of falls in the previous 12 months. RESULTS: Tests of visual function that had a statistically significant association with two or more falls after adjustment for confounders were visual acuity (prevalence ratio (PR) 1.9 for visual acuity worse than 20/30), contrast sensitivity (PR 1.2 for a 1-unit decrease at 6 cycles per degree), and suprathreshold visual field screening (PR 1.5 for 5 or more points missing). However, only visual acuity and contrast sensitivity were significantly associated with two or more falls per 1 standard deviation decrease. The presence of posterior subcapsular cataract (PR 2.1) and use of nonmiotic glaucoma medication (PR 2.0) had a statistically significant association with two or more falls; presence of age-related macular degeneration, diabetic retinopathy, and cortical or nuclear cataract did not. CONCLUSION: Visual impairment is strongly associated with two or more falls in older adults. In addition to poor visual acuity, visual factors such as reduced visual field, impaired contrast sensitivity, and the presence of cataract may explain this association.","1998-01","2020-06-04 02:43:16","2020-06-04 02:43:16","","58-64","","1","46","","","","","","","","","","eng","","","","","","","","","; ","https://onlinelibrary-wiley-com.libproxy2.usc.edu/doi/pdf/10.1111/j.1532-5415.1998.tb01014.x; http://dx.doi.org/10.1111/j.1532-5415.1998.tb01014.x","Accidental Falls/*statistics & numerical data; Aged; Aged, 80 and over; Cataract/complications; Cross-Sectional Studies; Female; Glaucoma/complications; Humans; Male; Middle Aged; Poisson Distribution; Proportional Hazards Models; Vision Disorders/*complications/diagnosis; Visual Acuity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JDCTHK55","journalArticle","2000","Cello, K. E.; Nelson-Quigg, J. M.; Johnson, C. A.","Frequency doubling technology perimetry for detection of glaucomatous visual field loss","Am J Ophthalmol","","0002-9394 (Print)0002-9394","","","PURPOSE: To evaluate the ability of frequency doubling technology perimetry to detect early, moderate, and advanced glaucomatous visual field loss. METHODS: In a prospective study, frequency doubling technology perimetry (C-20 full threshold) was performed in the right eye of 254 normal control subjects and 230 patients with early (n = 85), moderate (n = 114), or advanced (n = 31) glaucomatous visual field loss. Previous Humphrey Field Analyzer test results were used to classify glaucomatous visual field loss as early (mean deviation no worse than -6 dB), moderate (mean deviation between -6 and -12 dB) or advanced (mean deviation between -12 and -22 dB). RESULTS: Receiver operating characteristic curves showed 100% sensitivity and specificity (area under the curve, 1.0) for detecting advanced glaucomatous visual field loss, approximately 96% sensitivity and 96% specificity (area under the curve, 0.9751) for detecting moderate glaucomatous visual field loss, and approximately 85% sensitivity and 90% specificity (area under the curve, 0.9261) for early glaucomatous visual field loss. CONCLUSIONS: Frequency doubling technology perimetry demonstrates high sensitivity and specificity for detection of early, moderate, and advanced glaucomatous visual field loss.","2000-03","2020-06-04 02:43:13","2020-06-04 02:43:13","","314-22","","3","129","","","","","","","","","","eng","","","","","","","","","; ","https://www.sciencedirect.com/science/article/pii/S0002939499004146?via%3Dihub; http://dx.doi.org/","*Visual Fields; Adult; Humans; Middle Aged; Reproducibility of Results; Aged; Aged, 80 and over; Intraocular Pressure; Adolescent; Sensitivity and Specificity; False Positive Reactions; Prospective Studies; Glaucoma/*diagnosis; Optic Nerve Diseases/*diagnosis; Predictive Value of Tests; ROC Curve; Vision Disorders/*diagnosis; Visual Field Tests/*methods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V3X3YSZE","book","2015","Streiner, D. L.; Norman, G. R.; Cairney, J.","Health Measurement Scales: A Practical Guide to Their Development and Use","","","","","","Clinicians and those in health sciences are frequently called upon to measure subjective states such as attitudes, feelings, quality of life, educational achievement and aptitude, and learning style in their patients. This fifth edition of Health Measurement Scales enables these groups to both develop scales to measure non-tangible health outcomes, and better evaluate and differentiate between existing tools. Health Measurement Scales is the ultimate guide to developing and validating measurement scales that are to be used in the health sciences. The book covers how the individual items are developed; various biases that can affect responses (e.g. social desirability, yea-saying, framing); various response options; how to select the best items in the set; how to combine them into a scale; and finally how to determine the reliability and validity of the scale. It concludes with a discussion of ethical issues that may be encountered, and guidelines for reporting the results of the scale development process. Appendices include a comprehensive guide to finding existing scales, and a brief introduction to exploratory and confirmatory factor analysis, making this book a must-read for any practitioner dealing with this kind of data.","2015","2020-06-04 02:42:03","2020-06-04 02:42:03","","","","","","","","","","","","","Oxford University Press","Great Clarendon Street, Oxford, United Kingdom","","","","","","","","","","","https://books.google.com/books/about/Health_Measurement_Scales.html?id=JH3OBAAAQBAJ","","","","","","","","","","","","","","","","","","","","","","5th","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CI337R5H","journalArticle","2013","Arora, Karun S.; Boland, Michael V.; Friedman, David S.; Jefferys, Joan L.; West, Sheila K.; Ramulu, Pradeep Y.","The Relationship between Better-Eye and Integrated Visual Field Mean Deviation and Visual Disability","Ophthalmology","","0161-6420","10.1016/j.ophtha.2013.07.020","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3834089/","Objective To determine the extent of difference between better-eye visual field (VF) mean deviation (MD) and integrated VF (IVF) MD among Salisbury Eye Evaluation (SEE) subjects and a larger group of glaucoma clinic subjects and to assess how those measures relate to objective and subjective measures of ability/performance in SEE subjects. Design Retrospective analysis of population- and clinic-based samples of adults. Participants A total of 490 SEE and 7053 glaucoma clinic subjects with VF loss (MD ≤−3 decibels [dB] in at least 1 eye). Methods Visual field testing was performed in each eye, and IVF MD was calculated. Differences between better-eye and IVF MD were calculated for SEE and clinic-based subjects. In SEE subjects with VF loss, models were constructed to compare the relative impact of better-eye and IVF MD on driving habits, mobility, self-reported vision-related function, and reading speed. Main Outcome Measures Difference between better-eye and IVF MD and relationship of better-eye and IVF MD with performance measures. Results The median difference between better-eye and IVF MD was 0.41 dB (interquartile range [IQR], −0.21 to 1.04 dB) and 0.72 dB (IQR, 0.04–1.45 dB) for SEE subjects and clinic-based patients with glaucoma, respectively, with differences of ≥2 dB between the 2 MDs observed in 9% and 18% of the groups, respectively. Among SEE subjects with VF loss, both MDs demonstrated similar associations with multiple ability and performance metrics as judged by the presence/absence of a statistically significant association between the MD and the metric, the magnitude of observed associations (odds ratios, rate ratios, or regression coefficients associated with 5-dB decrements in MD), and the extent of variability in the metric explained by the model (R2). Similar associations of similar magnitude also were noted for the subgroup of subjects with glaucoma and subjects in whom better-eye and IVF MD differed by ≥2 dB. Conclusions The IVF MD rarely differs from better-eye MD, and similar associations between VF loss and visual disability are obtained using either MD. Unlike better-eye MD, IVF measurements require extra software/ calculation. As such, information from studies using better-eye MD can be more easily integrated into clinical decision-making, making better-eye MD a robust and meaningful method for reporting VF loss severity.","2013-12","2020-05-03 23:17:17","2020-11-18 20:20:56","2020-05-03 23:17:17","2476-84","","12","120","","Ophthalmology","","","","","","","","","","","","","PubMed Central","","PMID: 23993358 PMCID: PMC3834089","","/Users/domusc/Zotero/storage/A8DTHZPC/Arora et al. - 2013 - The Relationship between Better-Eye and Integrated.pdf; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3834089/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q6879DBY","journalArticle","2006","Friedman, David S.; Jampel, Henry D.; Muñoz, Beatriz; West, Sheila K.","The prevalence of open-angle glaucoma among blacks and whites 73 years and older: the Salisbury Eye Evaluation Glaucoma Study","Archives of Ophthalmology (Chicago, Ill.: 1960)","","0003-9950","10.1001/archopht.124.11.1625","","OBJECTIVE: To determine the prevalence of glaucoma among black and white persons 73 years and older. DESIGN: Participants in the fourth round of a population-based study, the Salisbury Eye Evaluation, were examined. The main outcome measure was glaucoma, based on optic nerve damage and visual field loss or obvious glaucomatous optic neuropathy without an available, reliable, reproducible visual field. RESULTS: A total of 1250 individuals (95.9% of those eligible) participated, 1233 (98.6%) of whom agreed to screening and an eye examination. The prevalence (95% confidence interval) of open-angle glaucoma was 3.4% (0.5%-6.4%) for white individuals aged 73 and 74 years, increasing to 9.4% (7.4%-11.5%) for those 75 years and older. There was no increasing prevalence in those older than 75 years. Among black persons, the prevalence (95% confidence interval) was 5.7% (0%-11.9%) in those aged 73 and 74 years and 23.2% (17.8%-28.5%) in those 75 years and older. CONCLUSIONS: Many older individuals have open-angle glaucoma, and black persons 75 years and older have substantially higher rates than whites. These findings have important implications for public health initiatives, in which screening programs may be of benefit.","2006-11","2020-04-07 19:19:02","2020-04-07 19:19:02","","1625-1630","","11","124","","Arch. Ophthalmol.","The prevalence of open-angle glaucoma among blacks and whites 73 years and older","","","","","","","eng","","","","","PubMed","","PMID: 17102012","","/Users/domusc/Zotero/storage/M38MXE53/Friedman et al. - 2006 - The prevalence of open-angle glaucoma among blacks.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/17102012","","Humans; Aged; Aged, 80 and over; Female; Male; Prevalence; European Continental Ancestry Group; African Continental Ancestry Group; Maryland; Glaucoma, Open-Angle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U5K3Q7XM","journalArticle","2013","Klein, Ronald; Klein, Barbara E. K.","The prevalence of age-related eye diseases and visual impairment in aging: current estimates","Investigative Ophthalmology & Visual Science","","1552-5783","10.1167/iovs.13-12789","","PURPOSE: To examine prevalence of five age-related eye conditions (age-related cataract, AMD, open-angle glaucoma, diabetic retinopathy [DR], and visual impairment) in the United States. METHODS: Review of published scientific articles and unpublished research findings. RESULTS: Cataract, AMD, open-angle glaucoma, DR, and visual impairment prevalences are high in four different studies of these conditions, especially in people over 75 years of age. There are disparities among racial/ethnic groups with higher age-specific prevalence of DR, open-angle glaucoma, and visual impairment in Hispanics and blacks compared with whites, higher prevalence of age-related cataract in whites compared with blacks, and higher prevalence of late AMD in whites compared with Hispanics and blacks. The estimates are based on old data and do not reflect recent changes in the distribution of age and race/ethnicity in the United States population. There are no epidemiologic estimates of prevalence for many visually-impairing conditions. CONCLUSIONS: Ongoing prevalence surveys designed to provide reliable estimates of visual impairment, AMD, age-related cataract, open-angle glaucoma, and DR are needed. It is important to collect objective data on these and other conditions that affect vision and quality of life in order to plan for health care needs and identify areas for further research.","2013-12-13","2020-04-07 19:18:26","2020-04-07 19:18:54","","ORSF5-ORSF13","","14","54","","Invest. Ophthalmol. Vis. Sci.","The prevalence of age-related eye diseases and visual impairment in aging","","","","","","","eng","","","","","PubMed","","PMID: 24335069 PMCID: PMC4139275","","/Users/domusc/Zotero/storage/8VRTBTME/Klein and Klein - 2013 - The prevalence of age-related eye diseases and vis.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/24335069","","Humans; United States; Prevalence; Age Distribution; Visual Acuity; Sex Distribution; Aging; visual impairment; Ethnic Groups; Eye Diseases; prevalence; cataract; age-related eye diseases; age-related macular degeneration; diabetic retinopathy; glaucoma; review","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YGYWQRQV","journalArticle","2016","Varma, Rohit; Vajaranant, Thasarat S.; Burkemper, Bruce; Wu, Shuang; Torres, Mina; Hsu, Chunyi; Choudhury, Farzana; McKean-Cowdin, Roberta","Visual Impairment and Blindness in Adults in the United States: Demographic and Geographic Variations from 2015 to 2050","JAMA ophthalmology","","2168-6165","10.1001/jamaophthalmol.2016.1284","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5116104/","Importance This paper describes the current and projected prevalence of visual impairment (VI) (visual acuity worse than 20/40, but better than 20/200) and blindness (visual acuity 20/200 or worse) in the United States. Objective To determine the demographic and geographic variations in VI and blindness in adults in the US population in 2015 and to estimate the projected prevalence through 2050 Design Descriptive Setting Population-based cross-sectional Participants Pooled data from adults, 40 years and older, from six major population-based studies on VI and blindness in the US. Prevalence of VI and blindness were reported by age, sex, race/ethnicity, and per capita prevalence by state, using the US census projections (2015 – 2050). Main Outcome and Measures Prevalence of VI and blindness Results In 2015, 1.02 million people were blind, and approximately 3.22 million people in the US had VI (best-corrected VA in the better-seeing eye), while up to 8.2 million people had VI due to uncorrected refractive error. By 2050, the number of these conditions are projected to double to approximately 2.01 million people with blindness, 6.95 million people with VI, and 16.4 million with VI due to uncorrected refractive error. The highest numbers of these conditions are predicted among non-Hispanic whites, women, and older adults, however African Americans are projected to experience the highest prevalence of blindness. By 2050, the highest prevalence of VI among minorities will shift from African Americans to Hispanics. From 2015-2050, the states projected to have the highest per-capita prevalence of VI are Florida and Hawaii and highest projected per-capita prevalence of blindness are Mississippi, Louisiana, and Florida. Conclusion & Relevance These data suggest that vision screening for refractive error and early eye disease may reduce or prevent a high proportion of individuals from experiencing unnecessary vision loss and blindness, decrease associated costs to the US economy for medical services and lost productivity, and contribute to better quality of life. Targeted education and screening programs for non-Hispanic white women and minorities should become increasingly important due to the projected growth of these populations and their relative contribution to the overall numbers of these conditions.","2016-07-01","2020-04-07 19:11:06","2020-04-07 19:11:27","2020-04-07 19:11:05","802-809","","7","134","","JAMA Ophthalmol","Visual Impairment and Blindness in Adults in the United States","","","","","","","","","","","","PubMed Central","","PMID: 27197072 PMCID: PMC5116104","","/Users/domusc/Zotero/storage/2IFVAIWV/Varma et al. - 2016 - Visual Impairment and Blindness in Adults in the U.pdf; ","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5116104/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3MX5DQJA","journalArticle","2016","Abe, R. Y.; Diniz-Filho, A.; Costa, V. P.; Gracitelli, C. P.; Baig, S.; Medeiros, F. A.","The Impact of Location of Progressive Visual Field Loss on Longitudinal Changes in Quality of Life of Patients with Glaucoma","Ophthalmology","","0161-6420","10.1016/j.ophtha.2015.10.046","http://dx.doi.org/10.1016/j.ophtha.2015.10.046","PURPOSE: To evaluate the association between rates of progressive loss in different regions of the visual field and longitudinal changes in quality of life (QoL). DESIGN: Prospective, observational cohort study. PARTICIPANTS: The study included 236 patients with glaucomatous visual field loss followed for an average of 4.3+/-1.5 years. METHODS: All subjects had the 25-item National Eye Institute Visual Functioning Questionnaire (NEI VFQ-25) performed annually and standard automated perimetry (SAP) at 6-month intervals. Subjects were included if they had a minimum of 2 NEI VFQ-25 and 5 SAP tests during follow-up. Evaluation of rates of visual field change was performed using 4 different regions (central inferior, central superior, peripheral inferior, and peripheral superior) of the integrated binocular visual field. The association between change in NEI VFQ-25 Rasch-calibrated scores and change in different regions of the visual field was investigated with a joint multivariable longitudinal linear mixed model. MAIN OUTCOME MEASURES: The relationship between change in QoL scores and change of mean sensitivity in different regions of the visual field. RESULTS: There was a significant correlation between change in the NEI VFQ-25 Rasch scores during follow-up and change in different regions of the visual field. Each 1 decibel (dB)/year change in binocular mean sensitivity of the central inferior area was associated with a decline of 2.6 units/year in the NEI VFQ-25 scores (R(2) = 35%; P < 0.001). Corresponding associations with change in QoL scores for the peripheral inferior, central superior, and peripheral superior areas of the visual field had R(2) values of 30%, 24%, and 19%, respectively. The association for the central inferior visual field area was statistically significantly stronger than those of the central superior area (P = 0.011) and peripheral superior area (P = 0.001), but not the peripheral inferior area (P = 0.171). Greater declines in NEI VFQ-25 scores were also seen in patients who had worse visual field sensitivity at baseline. CONCLUSIONS: Progressive decline in sensitivity in the central inferior area of the visual field had the strongest association with longitudinal decline in QoL of patients with glaucoma.","2016-03","2019-03-21 19:57:56","2019-03-21 19:57:56","","552-7","","3","123","","Ophthalmology","","","","","","","","eng","","","","26704883","NLM","","","","","","*Visual Fields; Humans; Middle Aged; Aged; Aged, 80 and over; Female; Male; Visual Field Tests; Disease Progression; Sickness Impact Profile; Surveys and Questionnaires; Longitudinal Studies; Sensitivity and Specificity; Prospective Studies; Vision Disorders/*diagnosis; Glaucoma/*psychology; Quality of Life/*psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
